Num qubits;Reps featuremap;Reps ansatz;time;r2
2;2;1;103.02146053314209;0.3821125210562245
2;2;2;117.16452527046204;0.37256629866587987
2;3;1;122.53336596488953;0.417920041938063
2;3;2;136.1518530845642;0.4077114206240806
3;2;1;140.12936425209045;0.2708249682204815
3;2;2;162.11671328544617;0.3091365359580661
3;3;1;165.45998620986938;0.29981317551255904
3;3;2;188.44632172584534;0.3544967580201104
4;2;1;176.55434799194336;0.0015995637849266497
4;2;2;208.43979668617249;0.18868826397608163
4;3;1;211.44800686836243;0.4064666438019373
4;3;2;243.7499542236328;0.32734777324012176
5;2;1;213.54227304458618;0.3228439836744049
5;2;2;254.87493920326233;0.30506154618977566
5;3;1;257.5313105583191;0.3126607570880767
5;3;2;299.2061815261841;0.34619644630039814
6;2;1;252.7355592250824;0.13721089445152412
6;2;2;301.2964217662811;0.25556843233912196
6;3;1;303.8828773498535;0.33046795076517765
6;3;2;355.19514751434326;0.3154368197866263
7;2;1;287.91213059425354;0.17770444613794967
7;2;2;349.3307707309723;0.28706821414736017
7;3;1;350.4633479118347;0.33726295556778885
7;3;2;411.64546489715576;0.27239406786661713
8;2;1;329.9231448173523;0.18098305922258484
8;2;2;401.1499743461609;0.2128973901386535
8;3;1;403.4920012950897;0.2253902920291394
8;3;2;474.8448965549469;0.23136860870456255
9;2;1;377.19588446617126;0.1615733217910199
9;2;2;478.98711252212524;0.28101605981536126
9;3;1;464.1072566509247;0.30507795478448985
9;3;2;546.0317013263702;0.14352578656780657
10;2;1;428.35532426834106;0.17875946372069862
10;2;2;524.85547041893;0.15527279113004921
10;3;1;526.81662774086;0.3212457702750633
10;3;2;624.2157258987427;0.022928904372100822
11;2;1;510.5432424545288;-0.0008032520829952539
11;2;2;624.7482228279114;0.12045131956720345
11;3;1;619.2785897254944;0.251679434151864
11;3;2;734.0209431648254;0.043789569465706
12;2;1;594.0380289554596;0.11115419316550601
12;2;2;735.7202687263489;0.18016629479713975
12;3;1;733.3213264942169;0.18019511260274967
12;3;2;878.5446290969849;0.15319218125151846
13;2;1;741.2722289562225;0.12936683240339852
13;2;2;918.4393036365509;-0.0321664557450998
13;3;1;929.6069829463959;0.10239070398301053
13;3;2;1113.2483351230621;0.1620481227392896
14;2;1;1114.6954174041748;0.17791721294082619
14;2;2;1413.7021012306213;0.16004225816467554
14;3;1;1424.1426787376404;0.2364434541841377
14;3;2;1690.2108228206635;0.07824687813839537
